,id,lang,label,key
145,Q732065,da,Cruglic,name:da
146,Q732065,de,Cruglic,name:de
147,Q732065,en,Cruglic,name:en
148,Q732065,es,Cruglic,name:es
149,Q732065,eu,Cruglic,name:eu
150,Q732065,fr,Cruglic,name:fr
151,Q732065,it,Cruglic,name:it
152,Q732065,ka,კრუგლიკი (კრიულენის რაიონი),name:ka
153,Q732065,nb,Cruglic,name:nb
154,Q732065,nl,Cruglic,name:nl
155,Q732065,nn,Cruglic,name:nn
156,Q732065,pl,Cruglic,name:pl
157,Q732065,pt,Cruglic,name:pt
158,Q732065,ro,Cruglic,name:ro
159,Q732065,sv,Cruglic,name:sv
160,Q732065,uk,Круглік,name:uk
161,Q732065,ce,Круглик (Молдави),name:ce
162,Q732065,tt,Круглик (Криулени),name:tt
163,Q732065,ga,Cruglic,name:ga
164,Q762886,ru,Ягорлык,name:ru
165,Q762886,uk,Ягорлик,name:uk
166,Q762886,bg,Яхорлйк,name:bg
167,Q762886,en,Yahorlyk River,name:en
168,Q762886,pl,Jahorlik,name:pl
169,Q762886,zh,亞戈爾利克河,name:zh
170,Q762886,de,Jahorlyk,name:de
171,Q762886,ro,Iagorlâc,name:ro
172,Q762886,nb,Jahorlik,name:nb
173,Q762886,nn,Jahorlik,name:nn
174,Q768989,da,Zubrești,name:da
175,Q768989,de,Zubrești,name:de
176,Q768989,en,Zubrești,name:en
177,Q768989,es,Zubrești,name:es
178,Q768989,eu,Zubrești,name:eu
179,Q768989,fr,Zubrești,name:fr
180,Q768989,it,Zubreşti,name:it
181,Q768989,ka,ზუბრეშტი,name:ka
182,Q768989,nb,Zubrești,name:nb
183,Q768989,nl,Zubreşti,name:nl
184,Q768989,nn,Zubrești,name:nn
185,Q768989,pl,Zubrești,name:pl
186,Q768989,pt,Zubrești,name:pt
187,Q768989,ro,Zubrești,name:ro
188,Q768989,ru,Зубрешть,name:ru
189,Q768989,sv,Zubrești,name:sv
190,Q768989,uk,Зубрешть,name:uk
191,Q768989,ce,Зубрешти (Страшенин кӀошт),name:ce
192,Q768989,tt,Зубрешти (Стрышени),name:tt
193,Q768989,ga,Zubrești,name:ga
194,Q768989,id,Zubrești,name:id
195,Q772222,de,Drum național 24C,name:de
196,Q772222,en,DN24C,name:en
197,Q772222,nl,DN24C,name:nl
198,Q772222,ro,DN24C,name:ro
199,Q773754,be,Пітушка,name:be
200,Q773754,da,Pitușca,name:da
201,Q773754,de,Pitușca,name:de
202,Q773754,en,Pitușca,name:en
203,Q773754,es,Pitușca,name:es
204,Q773754,eu,Pitușca,name:eu
205,Q773754,fr,Pitușca,name:fr
206,Q773754,hy,Պիտուշկա,name:hy
207,Q773754,it,Pituşca,name:it
208,Q773754,ka,პიტუშკა,name:ka
209,Q773754,nb,Pitușca,name:nb
210,Q773754,nl,Pituşca,name:nl
211,Q773754,nn,Pitușca,name:nn
212,Q773754,pl,Pitușca,name:pl
213,Q773754,pt,Pitușca,name:pt
214,Q131210,bs,Dnjestar,name:bs
215,Q131210,ca,Dnièster,name:ca
216,Q131210,cs,Dněstr,name:cs
217,Q131210,cv,Днестр,name:cv
218,Q131210,cy,Afon Dniester,name:cy
219,Q131210,da,Dnestr,name:da
220,Q131210,de,Dnister,name:de
221,Q131210,el,Δνείστερος,name:el
222,Q131210,eo,Dnestro,name:eo
223,Q131210,es,Dniéster,name:es
224,Q131210,et,Dnestr,name:et
225,Q131210,eu,Dniester,name:eu
226,Q131210,fa,نیستر,name:fa
227,Q131210,fi,Dnestr,name:fi
228,Q131210,fr,Dniestr,name:fr
229,Q131210,fy,Dnjestr,name:fy
230,Q131210,ga,An Dnístir,name:ga
231,Q131210,gl,Río Dnister,name:gl
232,Q131210,he,דניסטר,name:he
233,Q131210,hr,Dnjestar,name:hr
234,Q131210,hu,Dnyeszter,name:hu
235,Q131210,hy,Դնեստր,name:hy
236,Q131210,id,Sungai Dniester,name:id
237,Q131210,is,Dnjestr,name:is
238,Q131210,it,Dnestr,name:it
239,Q131210,ja,ドニエストル川,name:ja
240,Q131210,ka,დნესტრი,name:ka
241,Q131210,kk,Днестр,name:kk
242,Q131210,ko,드네스트르강,name:ko
243,Q131210,ky,Днестр,name:ky
244,Q131210,lt,Dniestras,name:lt
245,Q131210,lv,Dņestra,name:lv
246,Q131210,mk,Днестар,name:mk
247,Q131210,mn,Днестр,name:mn
248,Q131210,mo,Нистру,name:mo
249,Q131210,mr,द्नीस्तर नदी,name:mr
250,Q131210,ms,Sungai Dniester,name:ms
251,Q131210,nl,Dnjestr,name:nl
252,Q131210,nn,Dnister,name:nn
253,Q131210,oc,Dnièstre,name:oc
254,Q131210,pl,Dniestr,name:pl
255,Q131210,pt,Rio Dniestre,name:pt
256,Q131210,sh,Dnjestar,name:sh
257,Q131210,sk,Dnester,name:sk
258,Q131210,sl,Dnester,name:sl
259,Q131210,sq,Lumi Dniestri,name:sq
260,Q131210,sr,Дњестар,name:sr
261,Q131210,sv,Dnestr,name:sv
262,Q131210,sw,Dnestr,name:sw
263,Q131210,th,แม่น้ำนีสเตอร์,name:th
264,Q131210,tr,Dinyester,name:tr
265,Q131210,tt,Днестр,name:tt
266,Q131210,uz,Dnestr,name:uz
267,Q131210,vi,Dnister,name:vi
268,Q131210,yi,נעסטער,name:yi
269,Q131210,zh,德涅斯特河,name:zh
270,Q131210,ia,Nistro,name:ia
271,Q131210,io,Fluvio Dniester,name:io
272,Q131210,nb,Dnister,name:nb
273,Q131210,mg,Dniestr,name:mg
274,Q166574,be,Адэская чыгунка,name:be
275,Q166574,de,Odeska Salisnyzja,name:de
276,Q166574,he,רכבות אודסה,name:he
277,Q166574,ja,オデッサ鉄道,name:ja
278,Q166574,pl,Kolej Odeska,name:pl
279,Q166574,ru,Одесская железная дорога,name:ru
280,Q166574,uk,Одеська залізниця,name:uk
281,Q166574,zh,敖德萨铁路局,name:zh
282,Q166574,fr,Réseau ferré d'Odessa,name:fr
283,Q166574,ca,Ferrocarrils d'Odessa,name:ca
284,Q166574,en,Odesa Railways,name:en
285,Q166574,nb,Odesa jernbaner,name:nb
286,Q167199,ro,Vaslui,name:ro
287,Q167199,ru,Васлуй,name:ru
288,Q167199,uk,Васлуй,name:uk
289,Q167199,an,Provincia de Vaslui,name:an
290,Q167199,ar,إقليم فاسلوي,name:ar
291,Q167199,az,Vasluy judetsi,name:az
292,Q167199,be,Васлуй,name:be
293,Q167199,bg,Васлуй,name:bg
294,Q167199,bn,ভাস্লুয়ী কাউন্টি,name:bn
295,Q167199,bs,Vaslui (okrug),name:bs
296,Q167199,ca,Província de Vaslui,name:ca
297,Q167199,cs,Vaslui,name:cs
298,Q167199,cy,Sir Vaslui,name:cy
299,Q167199,da,Vaslui,name:da
300,Q167199,de,Kreis Vaslui,name:de
301,Q167199,el,Τζουντέτς του Βασλούι,name:el
302,Q167199,en,Vaslui County,name:en
303,Q167199,eo,Distrikto Vaslui,name:eo
304,Q167199,es,Vaslui,name:es
305,Q167199,et,Vaslui maakond,name:et
306,Q167199,eu,Vaslui konderria,name:eu
307,Q167199,fa,شهرستان وزلو,name:fa
308,Q167199,fi,Vaslui,name:fi
309,Q167199,fr,Vaslui,name:fr
310,Q167199,gd,Siorrachd Vaslui,name:gd
311,Q167199,gl,Condado de Vaslui,name:gl
312,Q167199,gu,વાસ્લુઈ કાઉન્ટી,name:gu
313,Q167199,he,מחוז וסלוי,name:he
314,Q167199,hi,वास्लूय काउंटी,name:hi
315,Q167199,hr,Vaslui,name:hr
316,Q167199,hu,Vaslui megye,name:hu
317,Q167199,id,Provinsi Vaslui,name:id
318,Q167199,it,Distretto di Vaslui,name:it
319,Q167199,ja,ヴァスルイ県,name:ja
320,Q167199,ka,ვასლუის ჟუდეცი,name:ka
321,Q167199,kn,ವಾಸ್ಲುಯಿ ಕೌಂಟಿ,name:kn
322,Q167199,ko,바슬루이주,name:ko
323,Q167199,la,Vaslui,name:la
324,Q167199,lt,Vaslujaus apskritis,name:lt
325,Q167199,lv,Vaslujas žudecs,name:lv
326,Q167199,mk,Васлуј,name:mk
327,Q167199,mn,Васлуй аймаг,name:mn
328,Q167199,mr,वास्लूय काउंटी,name:mr
329,Q167199,ms,Wilayah Vaslui,name:ms
330,Q167199,nb,Vaslui,name:nb
331,Q167199,nl,District Vaslui,name:nl
332,Q167199,nn,Vaslui fylke,name:nn
333,Q167199,pl,Okręg Vaslui,name:pl
334,Q167199,pt,Vaslui,name:pt
335,Q167199,se,Vaslui guovlu,name:se
336,Q167199,sh,Vaslui,name:sh
337,Q167199,si,වස්ලුයි ප්රාන්තය,name:si
338,Q167199,sk,Vaslui,name:sk
339,Q167199,sr,Васлуј,name:sr
340,Q167199,sv,Vaslui,name:sv
341,Q167199,ta,வாசலுய் கவுண்டி,name:ta
342,Q167199,te,వాస్లూయి కౌంటీ,name:te
343,Q167199,tg,Вилояти Васлуи,name:tg
344,Q167199,th,เทศมณฑลวัสลุย,name:th
345,Q167199,tr,Vaslui ili,name:tr
346,Q167199,ur,واسلوی کاؤنٹی,name:ur
347,Q167199,vi,Hạt Vaslui,name:vi
348,Q167199,wa,Vaslui,name:wa
349,Q167199,zh,瓦斯盧伊縣,name:zh
350,Q191078,bg,Тулча,name:bg
351,Q191078,cs,Tulcea,name:cs
352,Q191078,da,Tulcea,name:da
353,Q191078,es,Tulcea,name:es
354,Q191078,fi,Tulcea,name:fi
355,Q191078,fr,Tulcea,name:fr
356,Q191078,he,טולצ'ה,name:he
357,Q191078,hr,Tulcea,name:hr
358,Q191078,hy,Տուլչա,name:hy
359,Q191078,nb,Tulcea,name:nb
360,Q191078,pt,Tulcea,name:pt
361,Q191078,ro,Tulcea,name:ro
362,Q191078,ru,Тулча,name:ru
363,Q191078,sh,Tulcea,name:sh
364,Q191078,sk,Tulcea,name:sk
365,Q191078,sr,Тулча,name:sr
366,Q191078,sv,Tulcea,name:sv
367,Q191078,en,Tulcea County,name:en
368,Q191078,an,Provincia de Tulcea,name:an
369,Q191078,ar,مقاطعة تولسيا,name:ar
370,Q191078,az,Tulça,name:az
371,Q191078,be,Жудзец Тулча,name:be
372,Q191078,bn,তুলসিয়া কাউন্টি,name:bn
373,Q191078,bs,Tulcea (okrug),name:bs
374,Q191078,ca,Província de Tulcea,name:ca
375,Q191078,cy,Sir Tulcea,name:cy
376,Q191078,de,Kreis Tulcea,name:de
377,Q191078,el,Τζουντέτς της Τούλτσεα,name:el
378,Q191078,eo,Distrikto Tulcea,name:eo
379,Q191078,et,Tulcea maakond,name:et
380,Q191078,eu,Tulcea konderria,name:eu
381,Q191078,fa,شهرستان تولچا,name:fa
382,Q191078,gd,Tulcea (Siorrachd),name:gd
383,Q191078,gl,Condado de Tulcea,name:gl
384,Q191078,gu,ટુલ્સિઆ કાઉન્ટી,name:gu
385,Q191078,hi,टलसी काउंटी,name:hi
386,Q191078,hu,Tulcea megye,name:hu
387,Q191078,id,Provinsi Tulcea,name:id
388,Q191078,it,Distretto di Tulcea,name:it
389,Q191078,ja,トゥルチャ県,name:ja
390,Q191078,ka,ტულჩის ჟუდეცი,name:ka
391,Q191078,kn,ತುಲ್ಸಿಯ ಕೌಂಟಿ,name:kn
392,Q191078,ko,툴체아주,name:ko
393,Q191078,la,Tulcea,name:la
394,Q191078,lt,Tulčos apskritis,name:lt
395,Q191078,lv,Tulčas žudecs,name:lv
396,Q191078,mn,Тулча аймаг,name:mn
397,Q191078,mr,टुलसीआ काउंटी,name:mr
398,Q191078,ms,Wilayah Tulcea,name:ms
399,Q191078,nl,District Tulcea,name:nl
400,Q191078,nn,Tulcea fylke,name:nn
401,Q191078,pl,Okręg Tulcza,name:pl
402,Q191078,se,Tulcea guovlu,name:se
403,Q191078,si,ටුලේසියා ප්රාන්තය,name:si
404,Q191078,sl,Okrožje Tulcea,name:sl
405,Q191078,ta,துளசியா கவுண்டி,name:ta
406,Q191078,te,టుల్సీ కౌంటీ,name:te
407,Q191078,tg,Вилояти Тулчеа,name:tg
408,Q191078,th,เทศมณฑลตุลชา,name:th
409,Q191078,tr,Tulcea ili,name:tr
410,Q191078,uk,Тульча,name:uk
411,Q191078,ur,تولچا کاؤنٹی,name:ur
412,Q191078,vi,Hạt Tulcea,name:vi
413,Q191078,wa,Tulcea,name:wa
414,Q191078,zh,圖爾恰縣,name:zh
415,Q266444,ar,مقاطعة أونيتا,name:ar
416,Q266444,bg,Окницки район,name:bg
417,Q266444,bn,ওকনিতা জেলা,name:bn
418,Q266444,ca,Districte d'Ocnița,name:ca
419,Q266444,cs,Okres Ocnița,name:cs
420,Q266444,da,Ocnița District,name:da
421,Q266444,de,Rajon Ocnița,name:de
422,Q266444,el,Οκνίτα,name:el
423,Q266444,en,Ocnița District,name:en
424,Q266444,es,Distrito de Ocnița,name:es
425,Q266444,fi,Ocnițan piiri,name:fi
426,Q266444,fr,Ocnița,name:fr
427,Q266444,gu,ઓસ્નીટા જિલ્લો,name:gu
428,Q266444,hi,ऑकनिटा जिला,name:hi
429,Q266444,id,Raionul Ocnița,name:id
430,Q266444,it,Distretto di Ocnița,name:it
431,Q266444,ja,オクニタ県,name:ja
432,Q266444,ka,ოკნიცის რაიონი,name:ka
433,Q266444,kn,ಓಕ್ನಿಟಾ ಜಿಲ್ಲೆ,name:kn
434,Q266444,ko,오크니차구,name:ko
435,Q266444,lt,Oknicos rajonas,name:lt
436,Q266444,lv,Oknicas rajons,name:lv
437,Q266444,mo,Районул Окниця,name:mo
438,Q266444,mr,ओकिन्टा जिल्हा,name:mr
439,Q266444,ms,Ocnita District,name:ms
440,Q266444,nb,Ocnița,name:nb
441,Q266444,nl,Ocnița,name:nl
442,Q266444,pl,Rejon Ocnița,name:pl
443,Q266444,pt,Ocnița,name:pt
444,Q266444,ro,Raionul Ocnița,name:ro
445,Q266444,ru,Окницкий район,name:ru
446,Q266444,si,ඔක්නිටා දිස්ත්රික්කය,name:si
447,Q266444,sk,Ocnița,name:sk
448,Q266444,sq,Raionul Ocnița,name:sq
449,Q266444,sv,Raionul Ocnița,name:sv
450,Q266444,ta,ஓக்நீதா  மாவட்டம்,name:ta
451,Q266444,te,ఒసినిత జిల్లా,name:te
452,Q266444,th,เขตออกนิตซา,name:th
453,Q266444,tr,Ornita District,name:tr
454,Q266444,uk,Окницький район,name:uk
455,Q266444,ur,اوکنیتسا ضلع,name:ur
456,Q266444,vi,Quận Ocnita,name:vi
457,Q266444,zh,奧克尼察區,name:zh
458,Q266444,be,Окніцкі раён,name:be
459,Q276154,de,Ștefănești,name:de
460,Q276154,en,Ștefănești,name:en
461,Q276154,es,Ștefănești,name:es
462,Q276154,fr,Ștefănești,name:fr
463,Q276154,it,Ștefănești,name:it
464,Q276154,ro,Ștefănești,name:ro
465,Q276154,sv,Ștefănești,name:sv
466,Q276154,he,שטפנשט,name:he
467,Q276154,hu,Ștefănești,name:hu
468,Q276154,la,Ștefănești,name:la
469,Q276154,ms,"Ștefănești, Botoșani",name:ms
470,Q276154,nl,Ștefănești,name:nl
471,Q276154,pl,Ștefănești,name:pl
472,Q276154,ru,Штефанешты,name:ru
473,Q276154,sh,"Opština Ștefănești, Botoșani",name:sh
474,Q276154,sr,Општина Штефанешти,name:sr
475,Q276154,uk,Штефенешть,name:uk
476,Q276154,vi,"Stefanesti, Botoșani",name:vi
477,Q276154,yi,שטעפאנעשט,name:yi
478,Q276154,zh,什泰弗內什蒂,name:zh
479,Q276154,ca,Ștefănești (Botoșani),name:ca
480,Q276154,nn,Ștefănești i Botoșani,name:nn
481,Q276154,da,Ştefănești,name:da
482,Q335694,en,Bolgan,name:en
483,Q335694,et,Bolgan,name:et
484,Q335694,ro,Bolgan,name:ro
485,Q335694,be,Болган,name:be
486,Q335694,ce,Болган,name:ce
487,Q335694,hy,"Բոլգան (գյուղ, Պեսչանկայի շրջան)",name:hy
488,Q335694,mk,Болган,name:mk
489,Q335694,ru,Болган,name:ru
490,Q335694,sk,Bolhan,name:sk
491,Q335694,uk,Болган,name:uk
492,Q335694,zh,博爾甘,name:zh
493,Q335694,nb,Bolhan,name:nb
494,Q335694,nn,Bolhan,name:nn
495,Q335694,fi,Bоlhаn,name:fi
496,Q335694,cs,Bоlhan,name:cs
497,Q335694,pl,Bołhan,name:pl
498,Q511474,nl,Slobozia,name:nl
499,Q511474,be,Слабадзейскі раён,name:be
500,Q511474,cs,Slobodzejský rajon,name:cs
501,Q511474,de,Rajon Slobodseja,name:de
502,Q511474,en,Slobozia District,name:en
503,Q511474,fr,Raion de Slobozia,name:fr
504,Q511474,it,Distretto di Slobozia,name:it
505,Q511474,ja,スロボゼヤ地区,name:ja
506,Q511474,lt,Slabodzėjos rajonas,name:lt
507,Q511474,pl,Rejon Słobodzieja,name:pl
508,Q511474,pt,Região Administrativa de Slobozia,name:pt
509,Q511474,ro,Raionul Slobozia,name:ro
510,Q511474,ru,Слободзейский район,name:ru
511,Q511474,uk,Слободзейський район,name:uk
512,Q511474,fa,شهرستان سلوبزی,name:fa
513,Q511474,es,Distrito de Slobozia,name:es
514,Q555809,ar,برلمان مولدوفا,name:ar
515,Q555809,be,Парламент Малдовы,name:be
516,Q555809,bg,Парламент на Молдова,name:bg
517,Q555809,ca,Parlament de Moldàvia,name:ca
518,Q555809,cy,Senedd Gweriniaeth Moldofa,name:cy
519,Q555809,da,Moldovas parlament,name:da
520,Q555809,de,Parlament der Republik Moldau,name:de
521,Q555809,el,Κοινοβούλιο της Δημοκρατίας της Μολδαβίας,name:el
522,Q555809,en,Parliament of the Republic of Moldova,name:en
523,Q555809,eo,Parlamento de Moldavo,name:eo
524,Q555809,es,Parlamento de Moldavia,name:es
525,Q555809,fi,Moldovan parlamentti,name:fi
526,Q555809,fr,Parlement de la Moldavie,name:fr
527,Q555809,he,הפרלמנט של רפובליקת מולדובה,name:he
528,Q555809,hr,Parlament Moldavije,name:hr
529,Q555809,hu,Moldáv Parlament,name:hu
530,Q555809,id,Parlemen Republik Moldova,name:id
531,Q555809,it,Parlamento della Moldavia,name:it
532,Q555809,ja,モルドバ共和国議会,name:ja
533,Q865594,gu,ડ્રોચિયા જિલ્લો,name:gu
534,Q865594,hi,द्रोचिया जिला,name:hi
535,Q865594,id,Raionul Drochia,name:id
536,Q865594,it,Distretto di Drochia,name:it
537,Q865594,ja,ドロキア県,name:ja
538,Q865594,ka,დროკიის რაიონი,name:ka
539,Q865594,kn,ಡ್ರೋಶಿಯಾ ಜಿಲ್ಲೆ,name:kn
540,Q865594,ko,드로키아구,name:ko
541,Q865594,lt,Drokijos rajonas,name:lt
542,Q865594,lv,Drokijas rajons,name:lv
543,Q865594,mo,Районул Дрокия,name:mo
544,Q865594,mr,ड्रॉचीया जिल्हा,name:mr
545,Q865594,ms,Drochia District,name:ms
546,Q865594,nb,Drochia,name:nb
547,Q865594,nl,Drochia,name:nl
548,Q865594,pl,Rejon Drochia,name:pl
549,Q865594,pt,Drochia,name:pt
550,Q865594,ro,Raionul Drochia,name:ro
551,Q865594,ru,Дрокиевский район,name:ru
552,Q865594,si,ඩ්රෝචියා දිස්ත්රික්කය,name:si
553,Q865594,sk,Drochia,name:sk
554,Q865594,sq,Raionul Drochia,name:sq
555,Q865594,sv,Drochia rajon,name:sv
556,Q865594,ta,ட்ராசியா மாவட்டம்,name:ta
557,Q865594,te,డ్రోచియా జిల్లా,name:te
558,Q865594,tr,Drochia District,name:tr
559,Q865594,uk,Дрокійський район,name:uk
560,Q865594,ur,دروکیا ضلع,name:ur
